url,reward1,2digit,3digit_1,3digit_2,3digit_3,3digit_4,reward2_1,reward2_2,reward2_3,reward2_4,reward2_5,reward3_1,reward3_2,reward3_3,reward3_4,reward3_5,reward3_6,reward3_7,reward3_8,reward3_9,reward3_10
https://www.lottery.co.th/lotto/16-09-61,149760,79,539,323,155,297,036225,273728,604412,803424,992599,097155,100133,135161,228065,295656,302512,577033,643211,773339,897925
https://www.lottery.co.th/lotto/1-09-61,734510,26,512,464,202,097,000678,365367,498951,654852,709720,044373,205766,424190,443433,499646,580404,636558,670563,809866,820931
https://www.lottery.co.th/lotto/16-08-61,586117,10,670,340,815,591,014603,363633,879702,880841,925785,181921,298069,422807,446039,636004,733519,856785,882683,930489,980945
https://www.lottery.co.th/lotto/1-08-61,386602,78,903,832,549,726,117390,214522,368625,923496,924776,027588,123422,306797,321307,454354,520096,545356,622345,687112,706530
https://www.lottery.co.th/lotto/16-07-61,596324,27,530,403,362,138,179445,624930,778978,803437,926273,022958,041875,052496,189416,262219,324787,371291,432988,723767,758674
https://www.lottery.co.th/lotto/1-07-61,963623,83,901,429,210,217,004337,089341,432445,444719,526243,100472,208087,291532,487994,518746,750864,783943,811554,868692,913428
https://www.lottery.co.th/lotto/16-06-61,223131,46,432,507,132,868,058710,376227,457165,472890,875944,100942,143387,260111,484636,496534,534970,688560,837270,861431,987433
https://www.lottery.co.th/lotto/1-06-61,988117,95,553,310,248,650,331728,497522,550794,637992,694302,035084,073985,273002,352674,509924,605427,636516,764354,775783,902638
https://www.lottery.co.th/lotto/16-05-61,075629,20,357,130,506,047,203990,230697,405298,522716,848061,007281,228983,258521,406294,491101,703747,733558,744144,764684,768131
https://www.lottery.co.th/lotto/16-04-61,739229,60,273,654,076,526,004343,255410,484069,729318,752707,031824,093588,484283,504806,596118,629281,635275,728582,775373,900658
https://www.lottery.co.th/lotto/1-04-61,412073,85,787,131,924,638,051910,249823,391099,427106,467257,101094,130951,188987,353775,359609,383759,466229,503647,690617,820723
https://www.lottery.co.th/lotto/16-03-61,218559,82,720,064,205,489,197966,452512,525852,599382,713887,047089,058213,264692,275487,320270,542603,858618,954249,959641,998667
https://www.lottery.co.th/lotto/16-02-61,309915,39,007,388,230,748,008653,172414,476523,897483,978335,073826,138750,214038,237810,446034,571080,692602,720737,769017,836929
https://www.lottery.co.th/lotto/1-02-61,026853,31,106,947,181,519,176248,625633,669525,713539,958517,083574,116158,209320,252942,637456,665506,740707,850651,866388,911157
https://www.lottery.co.th/lotto/16-12-60,955596,89,616,836,290,938,176375,427257,536303,655903,900849,018285,235552,425831,432883,469455,612820,695859,765964,828161,896598
https://www.lottery.co.th/lotto/1-12-60,451005,33,303,626,257,601,012591,039045,448892,477450,932501,037832,091100,135938,201592,428682,584632,650144,762782,880676,912321
https://www.lottery.co.th/lotto/16-11-60,292391,98,961,831,477,628,021700,135424,357956,642849,803665,073181,168344,228437,248877,263038,309007,312411,592098,666338,687418
https://www.lottery.co.th/lotto/1-11-60,533726,85,165,425,485,036,207204,440879,497237,617980,951035,195866,221435,271632,331751,356817,578206,643292,824536,852509,965400
https://www.lottery.co.th/lotto/16-10-60,413494,86,180,971,287,128,113700,192717,523302,626487,846800,046495,134024,204205,318373,357001,414157,569159,600826,624020,803589
https://www.lottery.co.th/lotto/1-10-60,880714,52,611,726,462,952,132325,442603,769598,799449,872750,067352,068861,223485,244469,277129,293449,455352,653688,721341,915956
https://www.lottery.co.th/lotto/16-09-60,170143,71,172,647,340,388,018054,359597,424930,633909,814198,311763,368554,492957,619755,732656,838566,845351,898510,919578,976015
https://www.lottery.co.th/lotto/1-09-60,143224,65,345,679,278,195,245802,591396,686809,694048,730988,084754,154083,223213,226983,264096,366909,412056,524767,570083,641037
https://www.lottery.co.th/lotto/16-08-60,715431,37,115,302,253,945,050755,160502,333699,780589,831514,052996,225617,250641,405059,449343,536750,595146,692474,726484,730077
https://www.lottery.co.th/lotto/1-08-60,756519,36,061,386,787,989,041938,042845,062174,173091,219884,007796,083769,267271,275503,395048,484725,569285,632363,878635,946999
